,soldDate,propertyType,address,city,zipOrPostalCode,price,beds,baths,location,squareFeet,lotSize,yearBuilt,ppsf,latitude,longitude,walkScore,bikeScore,transitScore,rentalValue,elementry,middle,high,listPrice
1,February-16-2024,Single Family Residential,448 Zaton Ave,San Jose,95117.0,1502000.0,3.0,1.0,CENTRAL SAN JOSE,1200.0,5600.0,1952.0,1252.0,37.3196963,-121.9613308,51.0,68.0,47.0,3640.0,5.0,3.0,6.0,1390000.0
2,November-8-2023,Single Family Residential,7016 Blue Hill Dr,San Jose,95129.0,2320000.0,3.0,2.0,SAN JOSE,1328.0,6230.0,1961.0,1747.0,37.3043454,-122.0275175,79.0,80.0,37.0,4230.0,7.0,8.0,9.0,1999888.0
3,October-10-2023,Single Family Residential,152 Santa Rosa Dr,San Jose,95111.0,960000.0,3.0,2.0,SAN JOSE,1123.0,4988.0,1959.0,855.0,37.2786251,-121.8305354,,,,,,,,
4,February-16-2024,Single Family Residential,1464 Japaul Ln,San Jose,95132.0,1549500.0,3.0,2.0,SAN JOSE,1277.0,5663.0,1969.0,1213.0,37.4055104,-121.854593,35.0,46.0,37.0,3743.0,5.0,7.0,8.0,1200000.0
5,March-12-2024,Single Family Residential,6318 Nepo Dr,San Jose,95119.0,1705000.0,3.0,2.0,SAN JOSE,1343.0,5663.0,1970.0,1270.0,37.230274,-121.8026541,51.0,47.0,41.0,3918.0,7.0,5.0,8.0,1498000.0
6,October-12-2023,Single Family Residential,5235 Rio Grande Dr,San Jose,95136.0,1615000.0,4.0,2.5,SAN JOSE,2141.0,6260.0,1983.0,754.0,37.2610789,-121.8248135,44.0,52.0,45.0,4683.0,5.0,3.0,6.0,1588000.0
7,February-29-2024,Single Family Residential,2274 Central Park Dr,Campbell,95008.0,2265000.0,4.0,2.5,CAMPBELL,1687.0,6534.0,1961.0,1343.0,37.2756745,-121.9414671,67.0,83.0,48.0,4806.0,8.0,6.0,9.0,2149888.0
8,January-17-2024,Single Family Residential,3594 Rue Chene Do'r,San Jose,95148.0,2360000.0,5.0,3.0,SAN JOSE,2445.0,7516.0,1998.0,965.0,37.3246093,-121.7679182,17.0,31.0,20.0,5829.0,6.0,6.0,9.0,2268000.0
9,October-12-2023,Single Family Residential,1469 Willowmont Ave,San Jose,95118.0,1740000.0,4.0,3.0,SAN JOSE,1713.0,6316.0,1961.0,1016.0,37.2686596,-121.8917622,53.0,54.0,27.0,4750.0,6.0,5.0,6.0,1599888.0
10,September-27-2023,Single Family Residential,1396 Boysea Dr,San Jose,95118.0,1300000.0,4.0,2.5,SAN JOSE,1698.0,5711.0,1962.0,766.0,37.2602349,-121.8892833,69.0,72.0,26.0,4262.0,6.0,5.0,6.0,1420000.0
